features,model,fractal,regime_mode,used_lime,used_online_adapt,used_rfe,rfe_features_selected,mse,rmse,mae,r2,explained_variance,mape
DIX,ARIMA,none,feature,False,False,False,,11.513700160040147,3.3931843687073866,2.7544182343067853,0.3794056249896901,0.46991275916712183,17.696373638475936
DIX,GARCH,none,feature,False,False,False,,83.67996314673759,9.147675286472383,8.049273817180802,-3.5103931584192214,-0.018135148491324138,43.46097916660083
DIX,ANN,none,feature,False,False,False,,0.01384058816784599,0.11764602912060394,0.10184201708868763,-3.1305911358009952,-1.0702930932083214,127.20451615236598
DIX,RNN,none,feature,False,False,False,,0.006893268822014156,0.08302571181275205,0.07417787265216456,-1.0572301370149315,-0.10993995720745575,97.50692253037772
DIX,LSTM,none,feature,False,False,False,,0.0032905915318641185,0.057363677809778885,0.04608949580849291,0.01795443602343072,0.033852636327802665,53.90369174470051
DIX,GRU,none,feature,False,False,False,,0.0036711782958884108,0.06059024918160026,0.05023387621901074,-0.09562804290142157,0.01689676084753422,63.46448987328919
DIX,CNN,none,feature,False,False,False,,0.010292989261812746,0.10145437034358228,0.09121139761428335,-2.0718441796072415,-0.19205866279325234,119.27292348659235
DIX,CNN_LSTM,none,feature,False,False,False,,0.004517724777544238,0.06721402217948452,0.05840745197861973,-0.3482717420539321,-0.0485065603703001,74.29180297435896
DIX,ARIMA,hurst,feature,False,False,False,,12.124524539457317,3.4820287964715795,2.834046747840598,0.091124633435402,0.262894040917397,18.53619374333981
DIX,GARCH,hurst,feature,False,False,False,,70.8938544375359,8.419848836976582,7.572674555575782,-4.314326160123115,-0.015615624488694024,42.32403066140999
DIX,ANN,hurst,feature,False,False,False,,0.0033416504735893846,0.05780701059205003,0.04927736367408035,-0.37803590541782217,-0.20683075655879302,60.384078560941155
DIX,RNN,hurst,feature,False,False,False,,0.004001941863749529,0.0632609031215136,0.05009354403825049,-0.6503280708822623,-0.6481581106697105,54.67916731797975
DIX,LSTM,hurst,feature,False,False,False,,0.003251662462983659,0.05702335015573584,0.04896242774372028,-0.3409264857906371,-0.0760942690393287,64.18925306193607
DIX,GRU,hurst,feature,False,False,False,,0.005129514599797398,0.07162062970818811,0.06230275867590369,-1.1153185683998403,-0.049190067597913556,88.26035687317014
DIX,CNN,hurst,feature,False,False,False,,0.004696851601184677,0.06853358009899,0.06056540993566572,-0.9368962134149861,-0.09183291516207559,82.06557052971338
DIX,CNN_LSTM,hurst,feature,False,False,False,,0.009766164443762982,0.09882390623610758,0.08884506864088258,-3.0273886715819254,-0.19689588640603817,121.04375201972937
DIX,ARIMA,wavelet,feature,False,False,False,,12.702823412402791,3.564102048539406,2.9374060154091994,-0.021310779236695998,0.16315588651216872,19.21949039288694
DIX,GARCH,wavelet,feature,False,False,False,,66.35858810930222,8.146078081463633,7.332374104463167,-4.335250214120618,-0.01263194414518276,41.34189807175817
DIX,ANN,wavelet,feature,False,False,False,,0.006248773285805721,0.07904918270169352,0.06824816235203698,-1.7492322801009759,0.05698925357302087,85.7913148182185
DIX,RNN,wavelet,feature,False,False,False,,0.007547740254308067,0.08687773163652505,0.0784918942908367,-2.320730357764244,0.10111502558759078,96.01314084538961
DIX,LSTM,wavelet,feature,False,False,False,,0.009337744445919487,0.09663200528768658,0.09030120236884157,-3.108266899740041,0.31245636900143015,114.25253378342329
DIX,GRU,wavelet,feature,False,False,False,,0.008627946338400062,0.09288673930330454,0.08532801084308464,-2.7959816270482545,0.18993140262544028,104.82164266785452
DIX,CNN,wavelet,feature,False,False,False,,0.008412499579253836,0.09171967934556813,0.07681432415220135,-2.701192912880403,-0.6011666063946068,89.26936107821362
DIX,CNN_LSTM,wavelet,feature,False,False,False,,0.007592119323908738,0.08713276837050879,0.07701748249726217,-2.3402555293661904,-0.04417205394700807,95.96666693080492
GEX,ARIMA,none,feature,False,False,False,,11.513700160040147,3.3931843687073866,2.7544182343067853,0.3794056249896901,0.46991275916712183,17.696373638475936
GEX,GARCH,none,feature,False,False,False,,83.67996314673759,9.147675286472383,8.049273817180802,-3.5103931584192214,-0.018135148491324138,43.46097916660083
GEX,ANN,none,feature,False,False,False,,0.0020493777542599525,0.04527005361450274,0.034620755846663964,0.3883828141552643,0.41987933626026175,33.72990810586796
GEX,RNN,none,feature,False,False,False,,0.0033248217817908737,0.05766126760478713,0.04915227750363639,0.007738745388824353,0.2429187162237334,65.34942062937112
GEX,LSTM,none,feature,False,False,False,,0.0028500153086966806,0.053385534639045065,0.041031376233278745,0.14944019515380458,0.21132892833855554,39.939028524211025
GEX,GRU,none,feature,False,False,False,,0.00315214263427119,0.05614394565998359,0.04287693036368283,0.059273185069611656,0.09168501270104301,43.4520763908119
GEX,CNN,none,feature,False,False,False,,0.002073086467860626,0.045531159307232956,0.03344386850109857,0.38130717538525183,0.45753576946819374,30.192832241683455
GEX,CNN_LSTM,none,feature,False,False,False,,0.0020562153780149324,0.045345511112070754,0.032640153570476844,0.3863421907561896,0.4768718002630654,28.531641361840144
GEX,ARIMA,hurst,feature,False,False,False,,12.124524539457317,3.4820287964715795,2.834046747840598,0.091124633435402,0.262894040917397,18.53619374333981
