features,fractal,model1,model2,dm_stat,p_value,n_obs,significant
DIX,hurst,ARIMA,GARCH,-21.061982598667147,0.0,599,True
DIX,hurst,ARIMA,ANN,-51.939503051289066,0.0,597,True
DIX,hurst,ARIMA,RNN,-52.00739282532015,0.0,597,True
DIX,hurst,ARIMA,LSTM,-51.916813654454316,0.0,597,True
DIX,hurst,ARIMA,GRU,-51.831808703781576,0.0,597,True
DIX,hurst,ARIMA,CNN,-51.85990801416706,0.0,597,True
DIX,hurst,ARIMA,CNN_LSTM,-51.72688569817107,0.0,597,True
DIX,hurst,GARCH,ANN,-82.3778037262453,0.0,597,True
DIX,hurst,GARCH,RNN,-82.45165722111476,0.0,597,True
DIX,hurst,GARCH,LSTM,-82.3367782674649,0.0,597,True
DIX,hurst,GARCH,GRU,-82.24202049475437,0.0,597,True
DIX,hurst,GARCH,CNN,-82.30477807629178,0.0,597,True
DIX,hurst,GARCH,CNN_LSTM,-82.15466561537427,0.0,597,True
DIX,hurst,ANN,RNN,-3.3780562091933826,0.0007299184799194336,597,True
DIX,hurst,ANN,LSTM,0.8727919766879302,0.38277649879455566,597,False
DIX,hurst,ANN,GRU,-8.912624190417441,0.0,597,True
DIX,hurst,ANN,CNN,-10.16010264520303,0.0,597,True
DIX,hurst,ANN,CNN_LSTM,-21.51569722591516,0.0,597,True
DIX,hurst,RNN,LSTM,3.21899182163221,0.0012865066528320312,597,True
DIX,hurst,RNN,GRU,-3.554051996339269,0.0003795623779296875,597,True
DIX,hurst,RNN,CNN,-2.7095828302155787,0.00673675537109375,597,True
DIX,hurst,RNN,CNN_LSTM,-14.759474042351737,0.0,597,True
DIX,hurst,LSTM,GRU,-14.737003014888845,0.0,597,True
DIX,hurst,LSTM,CNN,-13.08015549872845,0.0,597,True
DIX,hurst,LSTM,CNN_LSTM,-23.268819059710854,0.0,597,True
DIX,hurst,GRU,CNN,3.9147041459494814,9.036064147949219e-05,597,True
DIX,hurst,GRU,CNN_LSTM,-22.015536701056316,0.0,597,True
